#
# Transition date estimate for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 4000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:27:31
# Spline RMSE gcc_mean: 0.00296
# Spline RMSE gcc_50: 0.00301
# Spline RMSE gcc_75: 0.00299
# Spline RMSE gcc_90: 0.00315
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
boundarywaters,DB,4000,rising,gcc_90,2014-05-25,2014-05-28,2014-06-03,2014-05-24,2014-05-27,2014-06-02,2014-05-27,2014-05-30,2014-06-04,0.34245,0.35224,0.37522,0.33482,0.41556
boundarywaters,DB,4000,rising,gcc_90,2015-05-20,2015-05-25,2015-05-31,2015-05-17,2015-05-24,2015-05-29,2015-05-22,2015-05-27,2015-06-01,0.34319,0.35264,0.37554,0.33612,0.41038
boundarywaters,DB,4000,rising,gcc_90,2016-05-17,2016-05-21,2016-05-26,2016-05-14,2016-05-20,2016-05-25,2016-05-19,2016-05-23,2016-05-27,0.34179,0.35129,0.37181,0.3344,0.40871
boundarywaters,DB,4000,rising,gcc_90,2017-05-24,2017-05-27,2017-06-02,2017-05-22,2017-05-26,2017-05-31,2017-05-26,2017-05-29,2017-06-03,0.34156,0.35089,0.37411,0.33482,0.41129
boundarywaters,DB,4000,rising,gcc_90,2018-05-15,2018-05-19,2018-05-25,2018-05-07,2018-05-18,2018-05-23,2018-05-18,2018-05-21,2018-05-26,0.33997,0.34813,0.37051,0.33405,0.40163
boundarywaters,DB,4000,rising,gcc_90,2019-05-19,2019-05-25,2019-06-01,2019-05-17,2019-05-17,2019-05-17,2019-07-16,2019-07-16,2019-07-16,0.34116,0.35235,0.37596,0.33445,0.40855
boundarywaters,DB,4000,rising,gcc_75,2014-05-25,2014-05-29,2014-06-04,2014-05-24,2014-05-28,2014-06-02,2014-05-27,2014-05-30,2014-06-05,0.34039,0.35238,0.3751,0.3332,0.41145
boundarywaters,DB,4000,rising,gcc_75,2015-05-20,2015-05-26,2015-05-31,2015-05-17,2015-05-24,2015-05-30,2015-05-23,2015-05-28,2015-06-01,0.34142,0.35219,0.37118,0.3347,0.40601
boundarywaters,DB,4000,rising,gcc_75,2016-05-17,2016-05-21,2016-05-27,2016-05-14,2016-05-20,2016-05-25,2016-05-19,2016-05-23,2016-05-28,0.34041,0.34927,0.37189,0.33326,0.40536
boundarywaters,DB,4000,rising,gcc_75,2017-05-24,2017-05-27,2017-06-02,2017-05-22,2017-05-26,2017-05-31,2017-05-26,2017-05-29,2017-06-03,0.33999,0.34879,0.3706,0.3333,0.40584
boundarywaters,DB,4000,rising,gcc_75,2018-05-16,2018-05-20,2018-05-25,2018-05-07,2018-05-19,2018-05-23,2018-05-18,2018-05-21,2018-05-26,0.33894,0.3492,0.36825,0.33253,0.39922
boundarywaters,DB,4000,rising,gcc_75,2019-05-20,2019-05-25,2019-06-01,2019-05-17,2019-05-17,2019-05-17,2019-07-16,2019-07-16,2019-07-16,0.34004,0.34896,0.37188,0.33304,0.40465
boundarywaters,DB,4000,rising,gcc_50,2014-05-24,2014-05-29,2014-06-04,2014-05-23,2014-05-28,2014-06-02,2014-05-27,2014-05-30,2014-06-05,0.33664,0.34976,0.37129,0.33096,0.40746
boundarywaters,DB,4000,rising,gcc_50,2015-05-19,2015-05-26,2015-05-31,2015-05-03,2015-05-24,2015-05-30,2015-05-22,2015-05-28,2015-06-01,0.33882,0.34914,0.3676,0.33202,0.4027
boundarywaters,DB,4000,rising,gcc_50,2016-05-17,2016-05-21,2016-05-27,2016-05-12,2016-05-20,2016-05-25,2016-05-19,2016-05-23,2016-05-28,0.33842,0.34644,0.36733,0.33154,0.40176
boundarywaters,DB,4000,rising,gcc_50,2017-05-24,2017-05-28,2017-06-03,2017-05-23,2017-05-27,2017-06-01,2017-05-26,2017-05-30,2017-06-04,0.3371,0.34753,0.36834,0.33179,0.40052
boundarywaters,DB,4000,rising,gcc_50,2018-05-16,2018-05-20,2018-05-25,2018-04-27,2018-05-19,2018-05-24,2018-05-19,2018-05-22,2018-05-26,0.33599,0.34511,0.36275,0.33093,0.39366
boundarywaters,DB,4000,rising,gcc_50,2019-05-21,2019-05-26,2019-06-01,2019-05-17,2019-05-17,2019-05-17,2019-07-16,2019-07-16,2019-07-16,0.33806,0.34771,0.36733,0.33139,0.40051
boundarywaters,DB,4000,rising,gcc_mean,2014-05-24,2014-05-28,2014-06-04,2014-05-23,2014-05-27,2014-06-02,2014-05-26,2014-05-30,2014-06-05,0.33674,0.34681,0.37101,0.33114,0.40567
