#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_90,2008-05-03,2008-05-07,2008-05-15,2008-05-01,2008-05-06,2008-05-13,2008-05-06,2008-05-09,2008-05-16,0.37743,0.38922,0.41909,0.36914,0.46357
harvard,DB,1000,rising,gcc_90,2009-04-27,2009-05-03,2009-05-10,2009-04-23,2009-05-01,2009-05-08,2009-04-30,2009-05-05,2009-05-11,0.37731,0.39126,0.41894,0.36817,0.46203
harvard,DB,1000,rising,gcc_90,2010-04-20,2010-04-25,2010-05-01,2010-04-16,2010-04-24,2010-04-30,2010-04-23,2010-04-27,2010-05-02,0.37666,0.39068,0.41718,0.36906,0.46489
harvard,DB,1000,rising,gcc_90,2011-05-02,2011-05-07,2011-05-13,2011-04-29,2011-05-05,2011-05-11,2011-05-04,2011-05-09,2011-05-14,0.3799,0.39476,0.42098,0.37071,0.46827
harvard,DB,1000,rising,gcc_90,2012-04-22,2012-04-30,2012-05-07,2012-04-14,2012-04-29,2012-05-05,2012-04-26,2012-05-02,2012-05-08,0.38294,0.39621,0.42737,0.37258,0.47722
harvard,DB,1000,rising,gcc_90,2013-04-30,2013-05-04,2013-05-10,2013-04-28,2013-05-03,2013-05-08,2013-05-02,2013-05-06,2013-05-11,0.38256,0.39734,0.4242,0.37391,0.47088
harvard,DB,1000,rising,gcc_90,2014-05-06,2014-05-10,2014-05-17,2014-05-05,2014-05-09,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.38173,0.39684,0.43235,0.37314,0.48027
harvard,DB,1000,rising,gcc_90,2015-05-01,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.38023,0.39308,0.42025,0.3728,0.46644
harvard,DB,1000,rising,gcc_90,2016-05-06,2016-05-11,2016-05-18,2016-05-04,2016-05-10,2016-05-16,2016-05-09,2016-05-13,2016-05-19,0.38436,0.399,0.43,0.37541,0.47893
harvard,DB,1000,rising,gcc_90,2017-05-02,2017-05-09,2017-05-16,2017-04-27,2017-05-08,2017-05-15,2017-05-06,2017-05-11,2017-05-17,0.38528,0.40218,0.43468,0.37465,0.49204
harvard,DB,1000,rising,gcc_90,2018-05-02,2018-05-07,2018-05-13,2018-04-30,2018-05-06,2018-05-12,2018-05-05,2018-05-09,2018-05-14,0.38384,0.39781,0.42927,0.37504,0.4804
harvard,DB,1000,rising,gcc_90,2019-05-04,2019-05-11,2019-05-18,2019-04-29,2019-05-10,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.38703,0.40132,0.4308,0.37702,0.47923
harvard,DB,1000,rising,gcc_75,2008-05-03,2008-05-08,2008-05-15,2008-05-02,2008-05-07,2008-05-13,2008-05-06,2008-05-10,2008-05-16,0.37539,0.39007,0.41488,0.36819,0.45754
harvard,DB,1000,rising,gcc_75,2009-04-26,2009-05-03,2009-05-10,2009-04-22,2009-05-01,2009-05-08,2009-04-29,2009-05-04,2009-05-11,0.37474,0.38876,0.41485,0.36629,0.45638
harvard,DB,1000,rising,gcc_75,2010-04-21,2010-04-26,2010-05-02,2010-04-17,2010-04-25,2010-04-30,2010-04-23,2010-04-28,2010-05-03,0.37649,0.38974,0.41757,0.36773,0.46153
harvard,DB,1000,rising,gcc_75,2011-05-01,2011-05-07,2011-05-13,2011-04-27,2011-05-05,2011-05-12,2011-05-04,2011-05-09,2011-05-14,0.37736,0.39198,0.41536,0.36886,0.46182
harvard,DB,1000,rising,gcc_75,2012-04-21,2012-05-01,2012-05-08,2012-04-13,2012-04-30,2012-05-06,2012-04-26,2012-05-03,2012-05-09,0.38015,0.39378,0.42234,0.37072,0.46851
harvard,DB,1000,rising,gcc_75,2013-04-29,2013-05-04,2013-05-10,2013-04-28,2013-05-03,2013-05-09,2013-05-02,2013-05-06,2013-05-11,0.37844,0.39324,0.41806,0.37094,0.46506
harvard,DB,1000,rising,gcc_75,2014-05-06,2014-05-10,2014-05-17,2014-05-05,2014-05-09,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.37948,0.39311,0.42661,0.37162,0.47374
harvard,DB,1000,rising,gcc_75,2015-05-01,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-09,2015-05-03,2015-05-07,2015-05-12,0.37852,0.39093,0.41726,0.37106,0.45983
harvard,DB,1000,rising,gcc_75,2016-05-07,2016-05-11,2016-05-18,2016-05-05,2016-05-10,2016-05-16,2016-05-09,2016-05-13,2016-05-19,0.38355,0.39577,0.42614,0.37396,0.4742
harvard,DB,1000,rising,gcc_75,2017-05-03,2017-05-09,2017-05-16,2017-04-28,2017-05-08,2017-05-15,2017-05-06,2017-05-11,2017-05-17,0.3829,0.39786,0.42863,0.37253,0.48138
harvard,DB,1000,rising,gcc_75,2018-05-03,2018-05-08,2018-05-14,2018-05-01,2018-05-07,2018-05-12,2018-05-05,2018-05-10,2018-05-15,0.38311,0.3966,0.42727,0.37356,0.47267
harvard,DB,1000,rising,gcc_75,2019-05-06,2019-05-12,2019-05-18,2019-05-02,2019-05-11,2019-05-17,2019-05-08,2019-05-14,2019-05-19,0.38533,0.39965,0.42516,0.3758,0.47202
harvard,DB,1000,rising,gcc_50,2008-05-04,2008-05-08,2008-05-15,2008-05-02,2008-05-07,2008-05-13,2008-05-06,2008-05-10,2008-05-16,0.37406,0.38602,0.41058,0.36636,0.45142
harvard,DB,1000,rising,gcc_50,2009-04-24,2009-05-03,2009-05-10,2009-04-19,2009-05-01,2009-05-08,2009-04-29,2009-05-05,2009-05-11,0.37179,0.38538,0.40971,0.36332,0.45249
