#
# Transition date estimate for harvardfarmnorth
#
# Site: harvardfarmnorth
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2019
# Final Processing Date: 2019-07-19
# Final Processing Time: 16:27:41
# Spline RMSE gcc_mean: 0.00293
# Spline RMSE gcc_50: 0.00383
# Spline RMSE gcc_75: 0.00395
# Spline RMSE gcc_90: 0.00428
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardfarmnorth,GR,1000,rising,gcc_90,2016-04-09,2016-04-19,2016-04-29,2016-04-05,2016-04-17,2016-04-27,2016-04-14,2016-04-22,2016-04-30,0.33729,0.35316,0.38402,0.32747,0.43471
harvardfarmnorth,GR,1000,rising,gcc_90,2017-04-13,2017-04-19,2017-04-26,2017-04-11,2017-04-18,2017-04-24,2017-04-16,2017-04-21,2017-04-27,0.33364,0.34846,0.38033,0.32488,0.43174
harvardfarmnorth,GR,1000,rising,gcc_90,2018-04-25,2018-04-30,2018-05-07,2018-04-23,2018-04-29,2018-05-06,2018-04-28,2018-05-02,2018-05-09,0.33599,0.35023,0.37826,0.32736,0.42912
harvardfarmnorth,GR,1000,rising,gcc_90,2019-04-15,2019-04-20,2019-04-29,2019-04-13,2019-04-19,2019-04-27,2019-04-17,2019-04-22,2019-04-30,0.33625,0.35003,0.3814,0.32616,0.43034
harvardfarmnorth,GR,1000,rising,gcc_75,2016-04-10,2016-04-20,2016-04-29,2016-04-06,2016-04-18,2016-04-27,2016-04-14,2016-04-22,2016-04-30,0.33623,0.35178,0.37875,0.32655,0.42891
harvardfarmnorth,GR,1000,rising,gcc_75,2017-04-14,2017-04-20,2017-04-26,2017-04-11,2017-04-19,2017-04-25,2017-04-16,2017-04-22,2017-04-27,0.33395,0.34869,0.37621,0.32349,0.42815
harvardfarmnorth,GR,1000,rising,gcc_75,2018-04-25,2018-04-30,2018-05-08,2018-04-23,2018-04-29,2018-05-06,2018-04-28,2018-05-03,2018-05-09,0.33466,0.34784,0.37605,0.32634,0.42402
harvardfarmnorth,GR,1000,rising,gcc_75,2019-04-15,2019-04-20,2019-04-29,2019-04-13,2019-04-19,2019-04-27,2019-04-17,2019-04-22,2019-04-30,0.33524,0.34841,0.3778,0.32543,0.42511
harvardfarmnorth,GR,1000,rising,gcc_50,2016-04-12,2016-04-21,2016-04-30,2016-04-08,2016-04-19,2016-04-28,2016-04-16,2016-04-24,2016-05-01,0.33502,0.34857,0.37649,0.32554,0.42336
harvardfarmnorth,GR,1000,rising,gcc_50,2017-04-14,2017-04-20,2017-04-27,2017-04-12,2017-04-19,2017-04-25,2017-04-17,2017-04-22,2017-04-28,0.33118,0.34451,0.37667,0.32186,0.4244
harvardfarmnorth,GR,1000,rising,gcc_50,2018-04-25,2018-05-01,2018-05-09,2018-04-23,2018-04-30,2018-05-07,2018-04-28,2018-05-03,2018-05-10,0.33299,0.34688,0.37345,0.32517,0.41754
harvardfarmnorth,GR,1000,rising,gcc_50,2019-04-15,2019-04-21,2019-04-29,2019-04-13,2019-04-19,2019-04-27,2019-04-17,2019-04-23,2019-04-30,0.33348,0.34771,0.3734,0.32458,0.41719
harvardfarmnorth,GR,1000,rising,gcc_mean,2016-04-11,2016-04-21,2016-04-30,2016-04-08,2016-04-19,2016-04-28,2016-04-14,2016-04-23,2016-05-01,0.33433,0.34847,0.37681,0.32473,0.42284
