#
# Transition date estimate for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:56:11
# Spline RMSE gcc_mean: 0.00394
# Spline RMSE gcc_50: 0.00405
# Spline RMSE gcc_75: 0.00398
# Spline RMSE gcc_90: 0.00458
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
konza,GR,1000,rising,gcc_90,2012-04-18,2012-04-24,2012-04-28,2012-03-20,2012-03-20,2012-03-20,2012-05-16,2012-05-16,2012-05-16,0.3278,0.34165,0.36444,0.31976,0.40798
konza,GR,1000,rising,gcc_90,2013-04-28,2013-05-04,2013-05-12,2013-04-26,2013-05-03,2013-05-10,2013-04-30,2013-05-05,2013-05-13,0.33497,0.35,0.37931,0.32479,0.42686
konza,GR,1000,rising,gcc_90,2014-04-15,2014-04-23,2014-05-02,2014-04-12,2014-04-21,2014-04-30,2014-04-18,2014-04-25,2014-05-03,0.32712,0.34314,0.37283,0.3167,0.42372
konza,GR,1000,rising,gcc_90,2015-04-17,2015-04-22,2015-04-29,2015-04-15,2015-04-21,2015-04-28,2015-04-19,2015-04-24,2015-04-30,0.32881,0.34327,0.37089,0.31946,0.42041
konza,GR,1000,rising,gcc_90,2016-04-13,2016-05-02,2016-05-14,2016-03-21,2016-04-29,2016-05-11,2016-04-22,2016-05-05,2016-05-15,0.32194,0.33535,0.36046,0.31345,0.40301
konza,GR,1000,rising,gcc_90,2017-04-12,2017-04-21,2017-05-02,2017-04-10,2017-04-20,2017-04-30,2017-04-15,2017-04-24,2017-05-03,0.32214,0.33787,0.36811,0.31237,0.42268
konza,GR,1000,rising,gcc_90,2018-04-26,2018-05-01,2018-05-07,2018-04-25,2018-04-30,2018-05-06,2018-04-28,2018-05-02,2018-05-08,0.32578,0.34628,0.37903,0.31598,0.43818
konza,GR,1000,rising,gcc_90,2019-04-22,2019-04-30,2019-05-12,2018-12-13,2018-12-13,2018-12-13,2019-06-04,2019-06-04,2019-06-04,0.33191,0.35292,0.39569,0.31851,0.46585
konza,GR,1000,rising,gcc_75,2012-04-19,2012-04-24,2012-04-29,2012-03-20,2012-03-20,2012-03-20,2012-05-16,2012-05-16,2012-05-16,0.32754,0.33926,0.36535,0.32014,0.40379
konza,GR,1000,rising,gcc_75,2013-04-28,2013-05-04,2013-05-12,2013-04-26,2013-05-03,2013-05-10,2013-04-30,2013-05-06,2013-05-13,0.33312,0.34788,0.37585,0.32353,0.42359
