#
# Transition date estimate for ninemileprairie
#
# Site: ninemileprairie
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:20:54
# Spline RMSE gcc_mean: 0.00254
# Spline RMSE gcc_50: 0.00262
# Spline RMSE gcc_75: 0.00287
# Spline RMSE gcc_90: 0.0038
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ninemileprairie,GR,2000,rising,gcc_90,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-29,2018-05-07,2018-04-26,2018-05-03,2018-05-10,0.3411,0.35719,0.38515,0.33148,0.43472
ninemileprairie,GR,2000,rising,gcc_90,2019-04-12,2019-04-19,2019-05-17,2019-04-10,2019-04-18,2019-05-14,2019-04-14,2019-04-21,2019-05-18,0.34553,0.36394,0.3971,0.33342,0.45843
ninemileprairie,GR,2000,rising,gcc_75,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-30,2018-05-07,2018-04-27,2018-05-03,2018-05-10,0.33964,0.35427,0.38182,0.33104,0.42946
ninemileprairie,GR,2000,rising,gcc_75,2019-04-12,2019-04-19,2019-05-19,2019-04-10,2019-04-18,2019-05-17,2019-04-15,2019-04-21,2019-05-20,0.34348,0.36064,0.39589,0.33223,0.45362
ninemileprairie,GR,2000,rising,gcc_50,2018-04-24,2018-05-01,2018-05-10,2018-04-22,2018-04-30,2018-05-08,2018-04-27,2018-05-03,2018-05-11,0.33865,0.35194,0.38202,0.33031,0.42659
ninemileprairie,GR,2000,rising,gcc_50,2019-04-12,2019-04-19,2019-05-19,2019-04-11,2019-04-18,2019-05-17,2019-04-15,2019-04-21,2019-05-20,0.34233,0.35902,0.3909,0.33168,0.44741
ninemileprairie,GR,2000,rising,gcc_mean,2018-04-24,2018-05-01,2018-05-10,2018-04-22,2018-04-30,2018-05-08,2018-04-27,2018-05-03,2018-05-11,0.33845,0.35198,0.38156,0.32926,0.42673
ninemileprairie,GR,2000,rising,gcc_mean,2019-04-12,2019-04-19,2019-05-19,2019-04-10,2019-04-18,2019-05-17,2019-04-14,2019-04-21,2019-05-20,0.34251,0.359,0.39132,0.33096,0.44669
ninemileprairie,GR,2000,falling,gcc_90,2018-10-15,2018-09-23,2018-08-27,2018-10-18,2018-09-30,2018-08-31,2018-10-11,2018-09-18,2018-08-24,0.34218,0.35782,0.38381,0.333,0.4331
ninemileprairie,GR,2000,falling,gcc_90,2017-10-07,2017-09-15,2017-08-23,2017-10-11,2017-09-19,2017-08-26,2017-10-02,2017-09-11,2017-08-20,0.34597,0.36211,0.38902,0.33606,0.44148
ninemileprairie,GR,2000,falling,gcc_75,2018-10-14,2018-09-21,2018-08-27,2018-10-16,2018-09-30,2018-08-31,2018-10-10,2018-09-15,2018-08-25,0.3417,0.35662,0.38101,0.33279,0.42837
ninemileprairie,GR,2000,falling,gcc_75,2017-10-09,2017-09-16,2017-08-24,2017-11-28,2017-09-21,2017-08-27,2017-10-05,2017-09-11,2017-08-22,0.34358,0.3587,0.38495,0.33384,0.4347
ninemileprairie,GR,2000,falling,gcc_50,2018-10-14,2018-09-20,2018-08-24,2018-10-16,2018-10-01,2018-08-29,2018-10-10,2018-09-14,2018-08-21,0.34016,0.35504,0.3792,0.33189,0.42542
ninemileprairie,GR,2000,falling,gcc_50,2017-10-10,2017-09-17,2017-08-24,2017-11-28,2017-09-23,2017-08-27,2017-10-05,2017-09-12,2017-08-21,0.34188,0.35689,0.38137,0.33288,0.42926
ninemileprairie,GR,2000,falling,gcc_mean,2018-10-13,2018-09-20,2018-08-25,2018-10-15,2018-09-26,2018-08-29,2018-10-09,2018-09-15,2018-08-22,0.34103,0.35546,0.37943,0.33258,0.42561
ninemileprairie,GR,2000,falling,gcc_mean,2017-10-11,2017-09-19,2017-08-25,2017-11-28,2017-09-24,2017-08-28,2017-10-06,2017-09-14,2017-08-23,0.34098,0.35598,0.38104,0.33162,0.42934
