#
# Transition date estimate for oakville
#
# Site: oakville
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:58:06
# Spline RMSE gcc_mean: 0.00224
# Spline RMSE gcc_50: 0.00232
# Spline RMSE gcc_75: 0.00225
# Spline RMSE gcc_90: 0.00256
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakville,GR,1000,rising,gcc_90,2015-05-04,2015-05-11,2015-05-24,2015-05-02,2015-05-10,2015-05-22,2015-05-07,2015-05-14,2015-05-25,0.35,0.36346,0.39003,0.34182,0.43537
oakville,GR,1000,rising,gcc_90,2016-05-01,2016-05-08,2016-05-18,2016-04-30,2016-05-07,2016-05-16,2016-05-03,2016-05-10,2016-05-19,0.35069,0.3659,0.39576,0.34127,0.4471
oakville,GR,1000,rising,gcc_90,2017-05-02,2017-05-07,2017-05-15,2017-05-01,2017-05-06,2017-05-14,2017-05-04,2017-05-09,2017-05-16,0.35087,0.36461,0.39073,0.34193,0.43794
oakville,GR,1000,rising,gcc_90,2018-04-28,2018-05-02,2018-05-09,2018-04-27,2018-05-01,2018-05-07,2018-04-30,2018-05-04,2018-05-10,0.35071,0.3662,0.4009,0.34184,0.45263
oakville,GR,1000,rising,gcc_90,2019-05-05,2019-05-14,2019-05-24,2019-05-02,2019-05-13,2019-05-22,2019-05-08,2019-05-16,2019-05-25,0.35215,0.36713,0.39587,0.34216,0.4457
oakville,GR,1000,rising,gcc_75,2015-05-04,2015-05-13,2015-05-25,2015-05-02,2015-05-11,2015-05-23,2015-05-07,2015-05-15,2015-05-26,0.34933,0.3636,0.38679,0.34103,0.43176
oakville,GR,1000,rising,gcc_75,2016-05-01,2016-05-08,2016-05-18,2016-04-30,2016-05-07,2016-05-17,2016-05-03,2016-05-10,2016-05-19,0.34995,0.36433,0.39185,0.3405,0.44127
oakville,GR,1000,rising,gcc_75,2017-05-02,2017-05-07,2017-05-15,2017-05-01,2017-05-06,2017-05-14,2017-05-04,2017-05-09,2017-05-16,0.35007,0.36319,0.38858,0.3411,0.43527
oakville,GR,1000,rising,gcc_75,2018-04-28,2018-05-02,2018-05-09,2018-04-27,2018-05-01,2018-05-08,2018-04-30,2018-05-04,2018-05-10,0.34928,0.36407,0.3975,0.34104,0.44885
oakville,GR,1000,rising,gcc_75,2019-05-05,2019-05-14,2019-05-24,2019-05-02,2019-05-13,2019-05-22,2019-05-08,2019-05-16,2019-05-25,0.35106,0.3659,0.39376,0.34144,0.44215
