#
# Transition date estimate for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:59:40
# Spline RMSE gcc_mean: 0.00248
# Spline RMSE gcc_50: 0.00296
# Spline RMSE gcc_75: 0.00281
# Spline RMSE gcc_90: 0.00247
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
proctor,DB,1000,rising,gcc_90,2009-04-30,2009-05-04,2009-05-10,2009-04-27,2009-05-03,2009-05-08,2009-05-02,2009-05-06,2009-05-11,0.3193,0.32571,0.34045,0.31469,0.36326
proctor,DB,1000,rising,gcc_90,2010-04-24,2010-04-27,2010-05-02,2010-04-22,2010-04-25,2010-04-30,2010-04-26,2010-04-29,2010-05-04,0.3198,0.32496,0.33546,0.31629,0.35347
proctor,DB,1000,rising,gcc_90,2011-05-05,2011-05-08,2011-05-14,2011-05-04,2011-05-07,2011-05-12,2011-05-07,2011-05-10,2011-05-15,0.31964,0.3264,0.34399,0.31595,0.36638
proctor,DB,1000,rising,gcc_90,2012-05-02,2012-05-06,2012-05-12,2012-04-30,2012-05-05,2012-05-10,2012-05-05,2012-05-08,2012-05-13,0.32088,0.3271,0.34285,0.3172,0.36413
proctor,DB,1000,rising,gcc_90,2013-04-28,2013-05-01,2013-05-05,2013-04-27,2013-04-30,2013-05-03,2013-04-30,2013-05-02,2013-05-06,0.32291,0.3305,0.34339,0.31833,0.36756
proctor,DB,1000,rising,gcc_90,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.32279,0.32898,0.34525,0.31851,0.3671
proctor,DB,1000,rising,gcc_90,2015-05-01,2015-05-04,2015-05-09,2015-04-30,2015-05-03,2015-05-08,2015-05-03,2015-05-06,2015-05-10,0.32048,0.32812,0.34212,0.31722,0.36677
proctor,DB,1000,rising,gcc_90,2016-05-10,2016-05-13,2016-05-18,2016-05-09,2016-05-12,2016-05-16,2016-05-12,2016-05-15,2016-05-19,0.32142,0.32819,0.34308,0.31841,0.36428
proctor,DB,1000,rising,gcc_90,2017-05-02,2017-05-09,2017-05-16,2017-04-28,2017-05-07,2017-05-14,2017-05-06,2017-05-12,2017-05-17,0.32273,0.32923,0.34112,0.31875,0.36325
proctor,DB,1000,rising,gcc_90,2018-05-04,2018-05-07,2018-05-13,2018-05-02,2018-05-06,2018-05-12,2018-05-06,2018-05-10,2018-05-14,0.32174,0.32722,0.34041,0.31795,0.3626
proctor,DB,1000,rising,gcc_90,2019-05-08,2019-05-12,2019-05-19,2019-05-05,2019-05-11,2019-05-17,2019-05-11,2019-05-15,2019-05-20,0.3233,0.329,0.34209,0.319,0.36459
proctor,DB,1000,rising,gcc_75,2009-04-29,2009-05-03,2009-05-10,2009-04-15,2009-05-02,2009-05-07,2009-05-02,2009-05-06,2009-05-11,0.31676,0.32255,0.33785,0.31219,0.35872
proctor,DB,1000,rising,gcc_75,2010-04-23,2010-04-27,2010-05-03,2010-04-20,2010-04-25,2010-04-30,2010-04-26,2010-04-29,2010-05-05,0.31688,0.32269,0.3331,0.31396,0.35085
proctor,DB,1000,rising,gcc_75,2011-05-06,2011-05-09,2011-05-14,2011-05-04,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-15,0.31887,0.32608,0.34021,0.31484,0.36116
proctor,DB,1000,rising,gcc_75,2012-05-03,2012-05-07,2012-05-12,2012-04-30,2012-05-05,2012-05-10,2012-05-06,2012-05-09,2012-05-13,0.31911,0.32538,0.33878,0.3152,0.35951
proctor,DB,1000,rising,gcc_75,2013-04-28,2013-04-30,2013-05-05,2013-04-26,2013-04-29,2013-05-03,2013-04-30,2013-05-02,2013-05-06,0.32032,0.32468,0.33989,0.31589,0.36172
proctor,DB,1000,rising,gcc_75,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.31954,0.32549,0.34069,0.31539,0.36257
proctor,DB,1000,rising,gcc_75,2015-05-01,2015-05-04,2015-05-09,2015-04-30,2015-05-03,2015-05-07,2015-05-03,2015-05-06,2015-05-10,0.31887,0.32624,0.33965,0.31521,0.36331
proctor,DB,1000,rising,gcc_75,2016-05-10,2016-05-13,2016-05-18,2016-05-08,2016-05-12,2016-05-16,2016-05-13,2016-05-15,2016-05-19,0.31943,0.32553,0.33909,0.31655,0.35959
