#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:30:52
# Spline RMSE gcc_mean: 0.00743
# Spline RMSE gcc_50: 0.00789
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00636
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,3000,rising,gcc_90,2010-04-26,2010-05-01,2010-05-09,2010-04-25,2010-04-30,2010-05-08,2010-04-28,2010-05-03,2010-05-10,0.35319,0.38203,0.43893,0.33475,0.54069
shiningrock,DB,3000,rising,gcc_90,2011-04-25,2011-05-05,2011-05-19,2011-04-23,2011-05-04,2011-05-17,2011-04-28,2011-05-08,2011-05-20,0.35145,0.37785,0.43019,0.33365,0.52139
shiningrock,DB,3000,rising,gcc_90,2012-04-30,2012-05-06,2012-05-18,2012-04-29,2012-05-05,2012-05-17,2012-05-02,2012-05-08,2012-05-19,0.36344,0.38947,0.44365,0.3449,0.54121
shiningrock,DB,3000,rising,gcc_90,2013-05-14,2013-05-20,2013-05-28,2013-05-13,2013-05-19,2013-05-26,2013-05-16,2013-05-21,2013-05-29,0.36161,0.39153,0.45021,0.34228,0.54696
shiningrock,DB,3000,rising,gcc_90,2014-05-03,2014-05-09,2014-05-19,2014-05-02,2014-05-08,2014-05-17,2014-05-05,2014-05-11,2014-05-20,0.3601,0.38639,0.43964,0.34421,0.53172
shiningrock,DB,3000,rising,gcc_90,2015-05-02,2015-05-07,2015-05-14,2015-04-23,2015-04-23,2015-05-12,2015-05-11,2015-05-11,2015-05-15,0.3565,0.37436,0.41974,0.34312,0.48604
shiningrock,DB,3000,rising,gcc_90,2016-04-26,2016-05-03,2016-05-12,2016-04-24,2016-05-02,2016-05-10,2016-04-28,2016-05-04,2016-05-13,0.35707,0.38469,0.43467,0.33956,0.52509
shiningrock,DB,3000,rising,gcc_90,2017-04-27,2017-05-08,2017-05-17,2017-04-25,2017-05-07,2017-05-16,2017-04-30,2017-05-10,2017-05-18,0.35777,0.38785,0.44428,0.3377,0.54856
shiningrock,DB,3000,rising,gcc_90,2018-05-07,2018-05-12,2018-05-18,2018-05-06,2018-05-11,2018-05-17,2018-05-09,2018-05-13,2018-05-19,0.35654,0.38641,0.43787,0.33898,0.5348
shiningrock,DB,3000,rising,gcc_90,2019-04-26,2019-05-01,2019-05-07,2019-04-25,2019-04-30,2019-05-06,2019-04-29,2019-05-03,2019-05-08,0.35538,0.37813,0.42949,0.34009,0.5132
shiningrock,DB,3000,rising,gcc_75,2010-04-27,2010-05-02,2010-05-10,2010-04-26,2010-05-01,2010-05-09,2010-04-29,2010-05-04,2010-05-11,0.35251,0.38107,0.43567,0.33326,0.53606
shiningrock,DB,3000,rising,gcc_75,2011-04-26,2011-05-06,2011-05-19,2011-04-24,2011-05-05,2011-05-17,2011-04-29,2011-05-09,2011-05-20,0.34875,0.37436,0.42742,0.33148,0.51321
shiningrock,DB,3000,rising,gcc_75,2012-04-30,2012-05-07,2012-05-19,2012-04-29,2012-05-06,2012-05-17,2012-05-02,2012-05-09,2012-05-20,0.35998,0.38797,0.4415,0.34228,0.53516
shiningrock,DB,3000,rising,gcc_75,2013-05-15,2013-05-21,2013-05-28,2013-05-14,2013-05-20,2013-05-27,2013-05-17,2013-05-22,2013-05-29,0.35907,0.39057,0.44322,0.33982,0.54359
shiningrock,DB,3000,rising,gcc_75,2014-05-04,2014-05-10,2014-05-20,2014-05-03,2014-05-09,2014-05-18,2014-05-06,2014-05-12,2014-05-21,0.35728,0.38387,0.43925,0.34218,0.52626
shiningrock,DB,3000,rising,gcc_75,2015-05-01,2015-05-07,2015-05-16,2015-04-23,2015-04-23,2015-05-14,2015-05-11,2015-05-11,2015-05-17,0.35795,0.37905,0.42041,0.34368,0.48975
shiningrock,DB,3000,rising,gcc_75,2016-04-26,2016-05-03,2016-05-12,2016-04-25,2016-05-02,2016-05-11,2016-04-29,2016-05-05,2016-05-13,0.35288,0.37814,0.42904,0.3371,0.51769
shiningrock,DB,3000,rising,gcc_75,2017-04-28,2017-05-08,2017-05-17,2017-04-26,2017-05-07,2017-05-16,2017-05-01,2017-05-10,2017-05-18,0.35449,0.38229,0.43802,0.33516,0.53989
shiningrock,DB,3000,rising,gcc_75,2018-05-07,2018-05-11,2018-05-18,2018-05-06,2018-05-10,2018-05-16,2018-05-09,2018-05-13,2018-05-19,0.35211,0.37667,0.43913,0.33657,0.52807
shiningrock,DB,3000,rising,gcc_75,2019-04-26,2019-05-01,2019-05-07,2019-04-25,2019-04-30,2019-05-05,2019-04-29,2019-05-03,2019-05-08,0.35184,0.37457,0.42444,0.33833,0.50002
shiningrock,DB,3000,rising,gcc_50,2010-04-27,2010-05-02,2010-05-11,2010-04-25,2010-05-01,2010-05-09,2010-04-29,2010-05-04,2010-05-12,0.34875,0.37434,0.43113,0.33031,0.52474
shiningrock,DB,3000,rising,gcc_50,2011-04-28,2011-05-07,2011-05-18,2011-04-25,2011-05-06,2011-05-16,2011-05-01,2011-05-10,2011-05-19,0.34747,0.37151,0.41949,0.33012,0.5058
shiningrock,DB,3000,rising,gcc_50,2012-05-01,2012-05-09,2012-05-21,2012-04-30,2012-05-08,2012-05-19,2012-05-04,2012-05-11,2012-05-23,0.35672,0.38665,0.43644,0.33966,0.53239
