date,percent_flower_year,species
1979/05/31,2.12,1979,"Maianthemum canadense"
1979/06/01,12.8,1979,"Maianthemum canadense"
1979/06/02,30.9,1979,"Maianthemum canadense"
1979/06/04,71.6,1979,"Maianthemum canadense"
1979/06/06,89.4,1979,"Maianthemum canadense"
1979/06/09,51.0,1979,"Maianthemum canadense"
1979/06/12,12.6,1979,"Maianthemum canadense"
1979/06/13,6.27,1979,"Maianthemum canadense"
1979/06/16,1.89,1979,"Maianthemum canadense"
1980/06/13,0,1980,"Maianthemum canadense"
1980/06/15,55.3,1980,"Maianthemum canadense"
1980/06/17,73.4,1980,"Maianthemum canadense"
1980/06/19,63.9,1980,"Maianthemum canadense"
1980/06/21,41.3,1980,"Maianthemum canadense"
1980/06/23,29.8,1980,"Maianthemum canadense"
1980/06/26,5.69,1980,"Maianthemum canadense"
