sample_size,flowering_lengths,flowering_gradients,spatial_gradient_types,clustering,bootstrap_i,simulation_id,seed
150,15,33.599999999999994,linear,TRUE,1,1,612633894.6633041
300,15,33.599999999999994,linear,TRUE,1,2,436617005.1507652
600,15,33.599999999999994,linear,TRUE,1,3,454948596.8891531
1200,15,33.599999999999994,linear,TRUE,1,4,835339888.4646595
150,30,33.599999999999994,linear,TRUE,1,5,744696254.6091527
300,30,33.599999999999994,linear,TRUE,1,6,62848819.18691099
600,30,33.599999999999994,linear,TRUE,1,7,938886370.9755242
1200,30,33.599999999999994,linear,TRUE,1,8,127215004.29324806
150,45,33.599999999999994,linear,TRUE,1,9,833245972.6370871
300,45,33.599999999999994,linear,TRUE,1,10,158018657.9376459
600,45,33.599999999999994,linear,TRUE,1,11,948071480.2630246
1200,45,33.599999999999994,linear,TRUE,1,12,125719757.28496909
150,60,33.599999999999994,linear,TRUE,1,13,628702380.9272796
300,60,33.599999999999994,linear,TRUE,1,14,251366722.1646756
600,60,33.599999999999994,linear,TRUE,1,15,832732337.5269771
1200,60,33.599999999999994,linear,TRUE,1,16,815749707.3989362
150,15,67.19999999999999,linear,TRUE,1,17,382903165.41679204
300,15,67.19999999999999,linear,TRUE,1,18,15713703.352957964
600,15,67.19999999999999,linear,TRUE,1,19,385336344.5959985
1200,15,67.19999999999999,linear,TRUE,1,20,673011414.706707
150,30,67.19999999999999,linear,TRUE,1,21,153119506.78005815
300,30,67.19999999999999,linear,TRUE,1,22,836861859.3085557
600,30,67.19999999999999,linear,TRUE,1,23,600767037.1327549
1200,30,67.19999999999999,linear,TRUE,1,24,921613370.5340326
150,45,67.19999999999999,linear,TRUE,1,25,625539317.2614276
300,45,67.19999999999999,linear,TRUE,1,26,163029866.06024206
600,45,67.19999999999999,linear,TRUE,1,27,907111705.9793323
1200,45,67.19999999999999,linear,TRUE,1,28,335161602.35740244
150,60,67.19999999999999,linear,TRUE,1,29,635547393.4672773
300,60,67.19999999999999,linear,TRUE,1,30,77922580.0652057
600,60,67.19999999999999,linear,TRUE,1,31,79988977.1733433
1200,60,67.19999999999999,linear,TRUE,1,32,641990040.6617671
150,15,16.799999999999997,linear,TRUE,1,33,664066150.0860006
300,15,16.799999999999997,linear,TRUE,1,34,809815542.5395817
600,15,16.799999999999997,linear,TRUE,1,35,115966139.12843168
1200,15,16.799999999999997,linear,TRUE,1,36,830243124.6265769
150,30,16.799999999999997,linear,TRUE,1,37,929923963.7330174
300,30,16.799999999999997,linear,TRUE,1,38,975171381.6076517
600,30,16.799999999999997,linear,TRUE,1,39,850127370.0967431
1200,30,16.799999999999997,linear,TRUE,1,40,509468666.5106565
150,45,16.799999999999997,linear,TRUE,1,41,170531370.67705393
300,45,16.799999999999997,linear,TRUE,1,42,920233425.6842732
600,45,16.799999999999997,linear,TRUE,1,43,299812855.43181
1200,45,16.799999999999997,linear,TRUE,1,44,669028693.5772747
150,60,16.799999999999997,linear,TRUE,1,45,778306956.4029574
300,60,16.799999999999997,linear,TRUE,1,46,858732524.7935951
600,60,16.799999999999997,linear,TRUE,1,47,934821623.1446713
1200,60,16.799999999999997,linear,TRUE,1,48,209876253.96810472
150,15,33.599999999999994,non-linear,TRUE,1,49,411384380.88819385
300,15,33.599999999999994,non-linear,TRUE,1,50,141530412.7149284
600,15,33.599999999999994,non-linear,TRUE,1,51,914936595.8292037
1200,15,33.599999999999994,non-linear,TRUE,1,52,406937745.8654344
150,30,33.599999999999994,non-linear,TRUE,1,53,890160743.8456267
300,30,33.599999999999994,non-linear,TRUE,1,54,360798951.7040551
600,30,33.599999999999994,non-linear,TRUE,1,55,417778157.62907267
1200,30,33.599999999999994,non-linear,TRUE,1,56,581028878.4559816
150,45,33.599999999999994,non-linear,TRUE,1,57,939905748.7025857
300,45,33.599999999999994,non-linear,TRUE,1,58,183771559.2700988
600,45,33.599999999999994,non-linear,TRUE,1,59,566041321.7265159
1200,45,33.599999999999994,non-linear,TRUE,1,60,206826966.25590324
150,60,33.599999999999994,non-linear,TRUE,1,61,790893087.6292288
300,60,33.599999999999994,non-linear,TRUE,1,62,38504183.99088085
600,60,33.599999999999994,non-linear,TRUE,1,63,532784964.88928795
1200,60,33.599999999999994,non-linear,TRUE,1,64,423787348.9037156
150,15,67.19999999999999,non-linear,TRUE,1,65,533431019.6340084
300,15,67.19999999999999,non-linear,TRUE,1,66,202672766.05591178
600,15,67.19999999999999,non-linear,TRUE,1,67,980150185.2925867
1200,15,67.19999999999999,non-linear,TRUE,1,68,151567011.83877885
150,30,67.19999999999999,non-linear,TRUE,1,69,855232925.1542687
300,30,67.19999999999999,non-linear,TRUE,1,70,466471955.8786601
600,30,67.19999999999999,non-linear,TRUE,1,71,376087530.28325737
1200,30,67.19999999999999,non-linear,TRUE,1,72,203194131.37622178
150,45,67.19999999999999,non-linear,TRUE,1,73,145600107.96412826
300,45,67.19999999999999,non-linear,TRUE,1,74,297471679.74710464
600,45,67.19999999999999,non-linear,TRUE,1,75,275614950.8059025
1200,45,67.19999999999999,non-linear,TRUE,1,76,624774153.5771638
150,60,67.19999999999999,non-linear,TRUE,1,77,416209698.18904996
300,60,67.19999999999999,non-linear,TRUE,1,78,807535214.1167969
600,60,67.19999999999999,non-linear,TRUE,1,79,689685537.4798179
1200,60,67.19999999999999,non-linear,TRUE,1,80,249430528.6090821
150,15,16.799999999999997,non-linear,TRUE,1,81,156412153.27195823
300,15,16.799999999999997,non-linear,TRUE,1,82,703077107.2022617
600,15,16.799999999999997,non-linear,TRUE,1,83,199601555.47596514
1200,15,16.799999999999997,non-linear,TRUE,1,84,98868474.13145006
150,30,16.799999999999997,non-linear,TRUE,1,85,861970720.347017
300,30,16.799999999999997,non-linear,TRUE,1,86,363531624.66548383
600,30,16.799999999999997,non-linear,TRUE,1,87,742872775.2994746
1200,30,16.799999999999997,non-linear,TRUE,1,88,959841103.2930017
150,45,16.799999999999997,non-linear,TRUE,1,89,609211567.3236549
300,45,16.799999999999997,non-linear,TRUE,1,90,511663847.8357345
600,45,16.799999999999997,non-linear,TRUE,1,91,860704021.9940245
1200,45,16.799999999999997,non-linear,TRUE,1,92,748384980.019182
150,60,16.799999999999997,non-linear,TRUE,1,93,113889374.53739345
300,60,16.799999999999997,non-linear,TRUE,1,94,573357129.7023445
600,60,16.799999999999997,non-linear,TRUE,1,95,223575909.8548442
1200,60,16.799999999999997,non-linear,TRUE,1,96,239049863.07024956
150,15,33.599999999999994,linear,FALSE,1,97,938933037.2214317
300,15,33.599999999999994,linear,FALSE,1,98,108049530.07027507
600,15,33.599999999999994,linear,FALSE,1,99,376278392.970562
1200,15,33.599999999999994,linear,FALSE,1,100,241686190.24567306
150,30,33.599999999999994,linear,FALSE,1,101,897160735.912621
300,30,33.599999999999994,linear,FALSE,1,102,226894306.95027113
600,30,33.599999999999994,linear,FALSE,1,103,859230503.6727339
1200,30,33.599999999999994,linear,FALSE,1,104,832715165.5685157
150,45,33.599999999999994,linear,FALSE,1,105,906896107.8301072
300,45,33.599999999999994,linear,FALSE,1,106,943443155.6146592
600,45,33.599999999999994,linear,FALSE,1,107,504499237.5187576
1200,45,33.599999999999994,linear,FALSE,1,108,924255738.5005057
150,60,33.599999999999994,linear,FALSE,1,109,859014997.9572743
300,60,33.599999999999994,linear,FALSE,1,110,198394191.45137072
600,60,33.599999999999994,linear,FALSE,1,111,347822724.60870445
1200,60,33.599999999999994,linear,FALSE,1,112,426513283.746317
150,15,67.19999999999999,linear,FALSE,1,113,36018504.29549813
300,15,67.19999999999999,linear,FALSE,1,114,524823667.9472029
600,15,67.19999999999999,linear,FALSE,1,115,236566988.51846159
1200,15,67.19999999999999,linear,FALSE,1,116,821138848.317787
150,30,67.19999999999999,linear,FALSE,1,117,925393889.1924918
300,30,67.19999999999999,linear,FALSE,1,118,969118928.5367727
600,30,67.19999999999999,linear,FALSE,1,119,694019671.2967008
1200,30,67.19999999999999,linear,FALSE,1,120,413214263.0405724
150,45,67.19999999999999,linear,FALSE,1,121,694392479.2576581
300,45,67.19999999999999,linear,FALSE,1,122,162446564.06342983
600,45,67.19999999999999,linear,FALSE,1,123,214204314.63047862
1200,45,67.19999999999999,linear,FALSE,1,124,296819093.86999905
150,60,67.19999999999999,linear,FALSE,1,125,494306984.35753584
300,60,67.19999999999999,linear,FALSE,1,126,387967504.79377806
600,60,67.19999999999999,linear,FALSE,1,127,362351935.3568554
1200,60,67.19999999999999,linear,FALSE,1,128,856252432.8008294
150,15,16.799999999999997,linear,FALSE,1,129,131574601.86630487
300,15,16.799999999999997,linear,FALSE,1,130,201240987.284109
